partyid,id,libcon,age,biden_likes,biden_dislikes,trump_likes,trump_dislikes,mipp_1
4. Independent,208354,4. Moderate; middle of the road,47,NA,"obamacare.  it's good that you receive help to pay for insurance, but i don't believe people should be forced to buy ins. that choice should be mine and it should be much more affordable than it is.","elimination of obamacare .  he doesn't mince words. you may not always agree with him, but he lets you know what's on his mind","same as prior- he doesn't mince words , which makes him less than diplomatic . he needs to be more responsible with foreign policy",keeping small businesses from failing during the pandemic
1. Strong Democrat,208361,1. Extremely liberal,64,"He is a Democrate and I agree eith the policies of the party. also, he is a good person",NA,NA,worst President ever. only cares about himself. Ethically and morally unfit for the office,"handling the virus, health care"
1. Strong Democrat,208378,1. Extremely liberal,66,"VICE PRESIDENT,STRONG ON ECONOMY, HONORABLE, HASN'T BEEN CAUGHT IN A LIE, DOES NOT LIKE PUTIN,",NA,NA,"IF HIS LIPS MOVE, THEN ""HE'S LYING"", NO REAL ABILITY TO LEAD, CORINA MISHANDLING, BIGOT, WEAK ON PUTIN,NORTH KOREA, SUPPORT RIGHT WING,","1.RACISM>IF WE STOP THIS...OUR FUTURE IS VERY BRIGHT. 2. TRUTH>POLITICIAN MUST BE DEMANDED TO SPEAK ""TRUTH"" TO THE PUBLIC."
1. Strong Democrat,208385,2. Liberal,35,seems to have a moral base and extensive knowledge of the political arena both nationally and internationally,NA,NA,"He's a sick sociopathic  narcissist with  zero qualifications to be the president. He is devisive. He supports racism, sexism and discrimination of all kinds. What a total dink.",devicive attitudes of us vs them
7. Strong Republican,208408,7. Extremely conservative,80. Age 80 or older,NA,TOO liberal. He is far too left leaning and simi Socialist,very conservertive and right leaning as am I.,NA,Liberal Democrats
7. Strong Republican,208415,6. Conservative,59,NA,Concerned about his mental abilityTax increases,Bringing back jobs to the US and not allowing forean contry's to take avanatge of the US,"I wish he would not use Twitter so much, he can get his message out in other ways",Econonomic recovery
7. Strong Republican,208422,6. Conservative,74,NA,His age and mental well being; being pro-abortion; his “record” for doing nothing the last 47 years; his lies and reversals on so many topics.,"Although I dont care for a lot of his personality traits, I feel he has done more for the country and American people than any president for many years. I think it has been good having a president who is not a political puppet; and who has regained the respect of many countries that have taken advantage of us in the last few years. I fear for our country under the liberals!",NA,eradicating COVID
6. Not very strong Republican,208439,6. Conservative,73,He is more for the voter and I feel like he well do a great job,NA,NA,He is out to enrich himself,Taxes
1. Strong Democrat,208446,2. Liberal,29,"A lot of my close friends and extended family believe the Joe Biden isn't the best option, but he is good enough to beat Donald Trump. I personally respect Joe Biden, and will fully show my support and vote for him. All though he has had a long career in congress before becoming Vice President, I think that he has what it takes to meet with leaders around the world. He has made some mistakes early in his political career, but he is what America needs. I know a lot of my peers are upset that Bernie Sanders didn't become the nominee, but I think Joe Biden still has a lot to offer, and will work/have intelligent people around him. Very unlike Donald Trump, who has only choose his cronies and personal friends to take high positions in his cabinet.",NA,NA,"The simple fact that he has divided the country in a way that has never been seen before. I believe he is a racist and does not have the interest of people of color/low income. He is only looking out for the elite class (at times, Trump's close friends), by slashing taxes and allowing businesses to operate without paying employees properly and having companies that create products that create pollution. I also cannot deal with his personal ventures intervening with tax payer money. But most importantly, I am against his views on immigration, COVID19, and his lack of responsibility as the president of the free world. I also believe he has a 4th grade reading vocabulary.",NA
7. Strong Republican,208453,5. Slightly conservative,80. Age 80 or older,NA,"age,  What did he do when in office previously?  What was he doing when all American jobs were moving to China?",He has kept the stock market up.  I like to believe he is trying to do whats best for the American people.,NA,"ECONOMICS,JOBS,IMMIGRANTS,ABORTIONS,CHOICE OF RELIGION,FREEDOM,HONESTY OF LEADERS,POLICE PROTECTION"
5. Independent-Republican,208484,7. Extremely conservative,-9. Refused,NA,His reputation.  he has done nothing for America in 47 years. Godless person.,An outsider.  Has done more for this country than anyone else ever!,NA,Morality. Country things good is bad and bad is good.  We are losing our moral compass.
4. Independent,208491,1. Extremely liberal,-9. Refused,"He's clearly against Trump.  Fairly decent & caring man.  Good speech last night. Biden has worked with Sen. Bernie Sanders to ""move to the Left"" for new policies; however, it isn't ""Left enough"" for me.  E.g., I find it absurd not to work out a viable plan for MedicareForAll:  the health ""insurance"" companies need to go bye bye.   www.FIXitHealthcare.com !  I do NOT like it that Biden voted for the Iraq War, and I fear he'll go back to Neo-Con and other wars again, once elected.  BERNIE Sanders wants to stop such warmongering. There's a slight chance in ""safe"" California (which will go for Biden/Harris overwhelmingly) that I will vote for the Green Party candidate, Howie Hawkins, depending on GP/his platform now.","As mentioned in previous question, his vote for the Iraq War - and he apparently has no regrets about that!   Also, his running mate, Kamala Harris, though warm, smart, a leader - did not prosecute Mnuchin for his role(s) in the mortgage crises during 2008 time, esp. via OneWest Bank (which supposedly now is an ethical institution)!  There is unresolved controversy about this.  She just says ""the evidence pointed to not prosecuting"".  I believe it was an opportunistic move on her part.  (And he contributed $2,000 to her campaigns.)   According to my reading, hopefully on reputable and accurate sites, it just doesn't ""smell"" good!",NA,"Sociopath.  Pathological Liar.  Narcissist.  Mean, nasty.  Hurts people who might not agree with him.  Dictatorial.  MANY in his Cabinet have been fired.  His encouraging racism, divisiveness, and violence is also horrible.  Many in his Cabinet or other assistants have been fired and/or prosecuted.  He and his kids (why is Nepotism allowed in this country?!) have financially benefited while being in Office.  He has many conflicts of interest (why Nancy Pelosi didn't include these and more horrific actions of Trump as Articles of Impeachment, is a so-called ""mystery"", albeit if the Impeachment was based on something they knew Repubs would resist, then Nancy and Dem company would be assured of a horrible candidate to run against with the hope a Dem President.)  So, I wonder if Nancy Pelosi purposely did not bring up ALL or at least MORE of the horrible junk Trump implemented.  Then we have apx. 25,000 children torn from their parent(s) or guardian at the Mexico Border - as dictated by the Orange Menace (Trump) and his racist adviser, Stephen Miller.  Callous Disregard.  Horrific. I'm getting sick enumerating all this junk of Trump, so I must stop here, but there's even more JUNK.","b.t.w., [REDACTED REPRESENTATIVE] is not my Rep., [REDACTED REPRESENTATIVE] is.  But I'm on both their lists, and they both do a very good job with Constituents.  Love [REDACTED REPRESENTATIVE] wit and smarts.  Has informed us VERY well re COVID, as [REDACTED REPRESENTATIVE] has in her own way with online and phone Townhalls, etc.  ///  COVID is the main problem, esp. since Trump escalated the problem yugely!Healthcare overall. Economic equity. Etc......"
